Date,Campaign_Platform,Campaign_Type,Ad_Spend_USD,Clicks,Impressions,Conversions,Revenue_USD,Target_Audience,SEO_Keyword,SEO_Search_Volume,SEO_Difficulty
2024-08-16,Google Search,Performance/ROAS,250.98,3484,9496,12,793.52,Millennials,free habit tracker,44932,4.5
2024-02-07,Google Search,Performance/ROAS,34.09,1761,11323,16,222.75,Students,best budget planning app,49894,3.4
2024-10-19,Instagram,Performance/ROAS,495.52,3080,43155,12,327.75,Working Professionals,secure investment tracker,628,2.8
2024-05-04,Google Search,Performance/ROAS,216.71,292,37637,14,696.35,Gen Z,mobile finance solutions,15098,4.3
2024-12-25,Facebook,Performance/ROAS,303.21,4537,27186,9,538.41,Millennials,easy goal setting,14579,1.8
2024-09-16,Google Search,Re-engagement,465.6,3270,25368,10,821.21,Students,mobile finance solutions,40298,1.2
2024-06-17,Facebook,Performance/ROAS,8.94,2985,30722,10,702.17,Students,top rated productivity app,34920,1.2
2024-10-31,Facebook,Re-engagement,495.33,1518,48149,13,661.89,Working Professionals,best budget planning app,1217,1.4
2024-12-06,Facebook,App Install,98.95,731,44077,11,0.0,Students,free habit tracker,42789,4.9
2024-05-18,Google Search,Performance/ROAS,319.54,4738,37675,11,658.62,Students,secure investment tracker,26807,0.6
2024-09-24,Facebook,Brand Awareness,261.29,2041,5395,10,740.19,Millennials,secure investment tracker,27936,0.9
2024-06-14,Instagram,Brand Awareness,5.1,2520,36721,11,139.38,Working Professionals,top rated productivity app,31175,4.8
2024-09-25,Facebook,Performance/ROAS,122.28,3523,35755,8,114.39,Working Professionals,easy goal setting,35780,4.7
2024-11-23,Google Search,Re-engagement,205.63,3464,29366,13,510.18,Working Professionals,secure investment tracker,32452,0.7
2024-06-26,Google Search,App Install,94.92,4202,1962,7,0.0,Gen Z,easy goal setting,35655,4.7
2024-01-07,Google Search,Re-engagement,410.03,3366,16315,9,162.91,Millennials,secure investment tracker,5932,4.9
2024-08-24,Facebook,Performance/ROAS,127.18,1025,35242,15,644.05,Students,top rated productivity app,8650,4.9
2024-04-13,Google Search,Re-engagement,61.6,2755,22619,8,937.85,Working Professionals,mobile finance solutions,41025,2.1
2024-03-02,Facebook,Performance/ROAS,375.48,2784,15830,14,288.24,Gen Z,best budget planning app,37327,3.8
2024-12-19,Facebook,App Install,148.59,688,46709,6,0.0,Millennials,easy goal setting,902,2.7
2024-07-30,Google Search,Performance/ROAS,454.74,1665,31295,13,569.55,Gen Z,mobile finance solutions,32437,4.1
2024-10-31,Facebook,Performance/ROAS,371.6,3812,25711,11,829.21,Millennials,mobile finance solutions,21762,2.2
2024-06-04,Facebook,Brand Awareness,303.28,2487,41025,14,885.66,Gen Z,secure investment tracker,21458,4.1
2024-02-12,TikTok,App Install,401.48,658,5720,6,0.0,Students,top rated productivity app,20343,4.2
2024-03-29,Facebook,Re-engagement,247.77,183,5276,9,259.65,Millennials,secure investment tracker,6679,4.1
2024-06-03,Facebook,Re-engagement,35.39,1116,27427,10,576.24,Millennials,mobile finance solutions,17122,2.4
2024-03-13,Facebook,Performance/ROAS,266.45,1579,47451,11,938.52,Gen Z,top rated productivity app,44061,3.1
2024-08-04,Instagram,Performance/ROAS,386.9,1738,7599,7,806.58,Students,secure investment tracker,17914,2.5
2024-02-07,Facebook,Re-engagement,453.97,1801,16892,10,55.45,Working Professionals,secure investment tracker,47072,2.9
2024-08-25,Instagram,Performance/ROAS,278.85,1261,17714,13,137.24,Students,free habit tracker,46123,1.5
2024-03-23,Google Search,App Install,169.28,4042,37292,11,0.0,Gen Z,free habit tracker,40016,4.2
2024-02-05,Google Search,Performance/ROAS,270.62,2329,32409,6,251.52,Millennials,secure investment tracker,3254,1.8
2024-03-01,Instagram,Performance/ROAS,166.04,1154,3853,9,434.55,Millennials,mobile finance solutions,37897,2.1
2024-06-12,TikTok,App Install,132.01,3856,48004,11,0.0,Millennials,easy goal setting,7036,4.3
2024-04-08,Facebook,Performance/ROAS,149.31,863,9549,7,214.31,Gen Z,best budget planning app,48715,2.2
2024-06-06,Google Search,Performance/ROAS,119.6,4769,39760,13,771.84,Students,mobile finance solutions,26253,3.6
2024-08-31,Facebook,Brand Awareness,39.33,911,553,9,843.07,Working Professionals,best budget planning app,5263,3.0
2024-12-16,TikTok,Performance/ROAS,490.79,4260,5486,10,191.01,Millennials,secure investment tracker,42196,3.1
2024-01-24,Instagram,Performance/ROAS,62.99,114,43557,8,488.83,Working Professionals,free habit tracker,38845,4.3
2024-03-25,Facebook,App Install,31.02,4515,11516,9,0.0,Millennials,best budget planning app,3952,3.3
2024-08-18,TikTok,Re-engagement,450.61,2926,18784,11,685.25,Gen Z,top rated productivity app,43048,4.3
2024-05-03,Google Search,App Install,184.35,4891,43487,12,0.0,Gen Z,top rated productivity app,2484,4.0
2024-01-01,Instagram,Brand Awareness,436.75,3545,23589,9,22.05,Millennials,top rated productivity app,24543,4.3
2024-12-08,Google Search,Re-engagement,274.17,2406,44430,16,201.01,Students,easy goal setting,4443,3.1
2024-06-26,Google Search,Performance/ROAS,400.99,608,13498,8,235.14,Millennials,top rated productivity app,48653,3.8
2024-08-12,Instagram,Performance/ROAS,79.02,2296,9122,12,380.75,Students,secure investment tracker,36420,1.9
2024-09-23,Google Search,Performance/ROAS,375.84,2742,30873,9,999.15,Gen Z,best budget planning app,25147,2.7
2024-09-27,Google Search,Performance/ROAS,456.68,723,17811,9,459.36,Millennials,best budget planning app,9815,2.9
2024-06-03,Facebook,App Install,274.01,2054,8157,8,0.0,Millennials,top rated productivity app,4523,4.2
2024-05-03,Google Search,Re-engagement,76.25,3932,49347,8,44.82,Students,mobile finance solutions,9989,4.9
2024-02-21,Instagram,Performance/ROAS,188.68,1408,49683,9,49.74,Millennials,best budget planning app,48404,3.2
2024-06-21,Google Search,Performance/ROAS,406.48,1541,37865,7,686.89,Working Professionals,free habit tracker,11172,3.2
2024-04-21,Facebook,Re-engagement,448.3,1510,28908,9,654.64,Working Professionals,top rated productivity app,13471,3.1
2024-11-25,Facebook,Performance/ROAS,131.4,2050,31488,7,469.8,Millennials,top rated productivity app,24215,1.0
2024-11-19,Google Search,Performance/ROAS,182.25,3541,14114,7,772.08,Millennials,top rated productivity app,16106,0.8
2024-03-09,Facebook,Performance/ROAS,93.67,1831,23935,10,389.48,Students,mobile finance solutions,42925,3.7
2024-01-10,Google Search,Performance/ROAS,8.95,2540,11248,11,156.83,Working Professionals,secure investment tracker,9874,1.2
2024-04-20,Google Search,Performance/ROAS,411.79,2814,5979,7,437.9,Millennials,top rated productivity app,46712,3.6
2024-01-27,Facebook,Performance/ROAS,384.79,4338,49846,8,97.94,Millennials,secure investment tracker,16625,1.1
2024-09-28,Facebook,Performance/ROAS,352.33,949,3822,7,722.06,Working Professionals,secure investment tracker,18272,1.0
2024-08-31,Google Search,Performance/ROAS,51.39,2725,35474,11,610.05,Working Professionals,secure investment tracker,38371,3.2
2024-09-12,Google Search,Performance/ROAS,441.31,4224,12267,12,922.7,Gen Z,mobile finance solutions,7527,2.6
2024-03-06,Google Search,App Install,288.87,3882,36695,5,0.0,Millennials,free habit tracker,37838,0.7
2024-10-25,Facebook,Re-engagement,5.36,3673,42444,11,777.43,Millennials,mobile finance solutions,39486,2.8
2024-10-23,Google Search,App Install,389.74,1819,10943,9,0.0,Working Professionals,easy goal setting,25829,3.5
2024-04-24,Instagram,Brand Awareness,151.4,4917,20575,12,806.1,Gen Z,easy goal setting,40082,4.7
2024-10-21,Facebook,App Install,285.98,3171,38252,11,0.0,Gen Z,secure investment tracker,31667,2.6
2024-08-29,Google Search,Performance/ROAS,97.43,1377,6301,10,471.22,Students,best budget planning app,19430,2.6
2024-12-09,Facebook,Performance/ROAS,62.49,1044,16522,9,83.51,Working Professionals,free habit tracker,47653,2.4
2024-11-20,Google Search,Performance/ROAS,229.39,923,8650,7,772.73,Millennials,free habit tracker,36378,4.8
2024-08-31,Facebook,Performance/ROAS,11.41,1435,28998,9,817.62,Millennials,secure investment tracker,20233,1.9
2024-10-27,Instagram,App Install,59.48,4278,10054,9,0.0,Millennials,best budget planning app,6621,1.2
2024-07-05,Instagram,Performance/ROAS,113.48,1730,24060,8,117.99,Students,top rated productivity app,23982,3.0
2024-01-22,Instagram,App Install,17.96,3763,48450,11,0.0,Millennials,free habit tracker,9461,4.9
2024-02-26,Google Search,App Install,256.44,1563,26025,11,0.0,Students,secure investment tracker,906,2.6
2024-01-27,Google Search,App Install,384.73,874,45255,11,0.0,Gen Z,mobile finance solutions,6548,4.0
2024-02-16,Google Search,Brand Awareness,421.66,2228,7882,12,862.56,Students,secure investment tracker,23146,2.8
2024-02-21,Google Search,Performance/ROAS,197.97,4067,41139,8,315.12,Millennials,mobile finance solutions,1311,1.3
2024-03-26,Facebook,Performance/ROAS,456.26,1613,44254,7,549.51,Working Professionals,top rated productivity app,10615,4.4
2024-03-09,Google Search,Performance/ROAS,385.35,3269,19644,13,688.27,Gen Z,easy goal setting,11551,3.3
2024-12-27,Google Search,Performance/ROAS,320.63,1732,16597,9,637.12,Millennials,top rated productivity app,39207,4.1
2024-05-02,Google Search,App Install,202.68,2340,18754,8,0.0,Students,free habit tracker,24122,1.5
2024-04-12,Instagram,Performance/ROAS,431.56,3552,997,11,246.52,Working Professionals,free habit tracker,49437,2.0
2024-11-12,Google Search,Re-engagement,192.29,3676,15614,6,282.19,Students,secure investment tracker,21892,3.4
2024-02-08,Facebook,App Install,94.13,1324,12019,13,0.0,Millennials,easy goal setting,39539,1.7
2024-04-28,Facebook,Performance/ROAS,121.74,824,40565,12,381.7,Students,top rated productivity app,2522,3.5
2024-06-16,Facebook,Performance/ROAS,364.41,3090,19361,10,690.16,Students,free habit tracker,22919,4.4
2024-05-12,Instagram,App Install,390.79,1121,29455,13,0.0,Gen Z,easy goal setting,12117,1.5
2024-05-18,Google Search,Performance/ROAS,391.62,1787,35458,12,993.0,Working Professionals,top rated productivity app,6440,4.0
2024-06-18,Facebook,Performance/ROAS,308.77,3254,37834,10,349.99,Students,secure investment tracker,18142,2.4
2024-04-27,Facebook,Performance/ROAS,339.99,249,16344,7,504.76,Students,best budget planning app,7096,4.8
2024-12-26,Google Search,Performance/ROAS,116.47,3077,41609,10,249.19,Students,mobile finance solutions,34107,4.9
2024-07-18,Instagram,App Install,11.53,3420,4292,14,0.0,Students,free habit tracker,29169,0.6
2024-06-28,TikTok,Performance/ROAS,161.18,916,5611,3,63.641999999999996,Students,mobile finance solutions,6965,0.9
2024-11-24,Instagram,Performance/ROAS,294.23,4213,20890,9,919.11,Students,mobile finance solutions,38377,2.3
2024-09-19,Facebook,Performance/ROAS,315.43,2078,37725,10,12.34,Students,mobile finance solutions,7249,5.0
2024-08-15,TikTok,Performance/ROAS,275.86,845,1619,6,312.18,Gen Z,easy goal setting,47535,0.9
2024-12-26,Facebook,Performance/ROAS,275.23,1676,1432,8,225.71,Students,easy goal setting,34137,2.6
2024-11-18,Facebook,App Install,487.41,1493,14412,8,0.0,Gen Z,easy goal setting,5336,2.9
2024-02-14,Instagram,Brand Awareness,79.79,3482,40783,7,994.29,Millennials,top rated productivity app,8022,1.7
2024-03-13,Google Search,Brand Awareness,204.66,2188,34391,11,713.86,Working Professionals,top rated productivity app,22376,2.3
2024-08-27,Google Search,Re-engagement,309.35,182,26279,6,514.05,Students,best budget planning app,15692,2.8
2024-10-23,Google Search,Performance/ROAS,123.46,3439,39725,10,206.24,Students,top rated productivity app,29146,2.1
2024-11-07,TikTok,Brand Awareness,149.96,3237,9351,3,59.926,Working Professionals,top rated productivity app,10597,3.0
2024-07-15,Google Search,Performance/ROAS,406.65,4774,8324,7,216.37,Millennials,top rated productivity app,2909,0.6
2024-01-11,Facebook,Performance/ROAS,274.06,3601,16508,13,175.8,Working Professionals,mobile finance solutions,15448,5.0
2024-12-12,TikTok,Performance/ROAS,266.49,1345,48168,10,891.17,Working Professionals,best budget planning app,25465,4.3
2024-06-01,TikTok,Re-engagement,46.47,3661,42881,10,71.55,Gen Z,top rated productivity app,44118,4.4
2024-12-08,Google Search,Performance/ROAS,312.72,350,47981,8,338.76,Millennials,easy goal setting,37364,2.6
2024-05-31,Google Search,Re-engagement,217.76,135,49959,10,716.52,Gen Z,top rated productivity app,49809,2.9
2024-05-19,Facebook,Re-engagement,209.66,2525,39334,8,36.08,Students,top rated productivity app,33547,4.2
2024-02-17,Facebook,Re-engagement,389.42,535,6064,9,764.59,Gen Z,mobile finance solutions,32929,3.8
2024-04-25,Instagram,Performance/ROAS,216.57,3467,10232,5,477.44,Working Professionals,easy goal setting,48271,3.6
2024-04-08,TikTok,Brand Awareness,470.75,3183,30169,14,574.18,Students,mobile finance solutions,12764,0.8
2024-07-15,Google Search,App Install,201.14,2678,20601,11,0.0,Students,best budget planning app,48014,3.9
2024-08-09,TikTok,App Install,261.73,4491,7185,7,0.0,Gen Z,mobile finance solutions,39263,4.7
2024-12-11,Facebook,Re-engagement,336.03,149,20628,11,637.2,Gen Z,top rated productivity app,40577,4.9
2024-11-25,Instagram,Re-engagement,195.65,2885,38464,8,641.55,Millennials,best budget planning app,49697,4.0
2024-07-31,Facebook,Re-engagement,60.51,73,46198,8,388.33,Working Professionals,secure investment tracker,22518,1.4
2024-04-13,Google Search,Re-engagement,196.5,921,46291,7,671.11,Students,top rated productivity app,17846,1.9
2024-08-09,Google Search,Re-engagement,159.46,4163,37258,9,434.1,Gen Z,easy goal setting,45344,1.8
2024-01-17,Facebook,Performance/ROAS,191.71,4310,16871,10,769.98,Working Professionals,mobile finance solutions,22858,1.1
2024-10-27,Facebook,Performance/ROAS,333.37,216,48479,9,258.28,Millennials,free habit tracker,22272,2.3
2024-06-14,Google Search,Performance/ROAS,117.99,1828,18799,13,422.95,Gen Z,top rated productivity app,26163,2.7
2024-07-21,Google Search,App Install,388.02,4140,40562,14,0.0,Millennials,best budget planning app,40202,2.3
2024-11-29,Facebook,Performance/ROAS,116.92,4803,3785,7,661.01,Millennials,best budget planning app,11506,4.6
2024-11-26,Facebook,Brand Awareness,308.04,2503,30435,9,480.48,Millennials,secure investment tracker,48074,2.8
2024-11-30,Google Search,App Install,442.27,4524,11602,6,0.0,Millennials,secure investment tracker,28340,4.0
2024-11-14,Facebook,Performance/ROAS,330.51,4857,8325,6,726.35,Students,mobile finance solutions,22768,2.9
2024-11-02,Facebook,Re-engagement,245.42,106,27434,10,778.36,Working Professionals,mobile finance solutions,23134,3.3
2024-04-16,Facebook,Performance/ROAS,140.05,3435,12255,9,915.35,Gen Z,easy goal setting,3009,0.8
2024-11-15,Facebook,Performance/ROAS,187.51,2675,27669,15,194.42,Gen Z,free habit tracker,6697,0.8
2024-05-19,Instagram,Re-engagement,137.97,2954,10703,12,259.98,Millennials,free habit tracker,48865,3.2
2024-03-29,Facebook,Brand Awareness,451.84,3314,36924,12,838.11,Students,easy goal setting,45247,1.1
2024-08-21,Google Search,App Install,57.22,3141,42152,3,0.0,Working Professionals,easy goal setting,21063,3.0
2024-01-09,Google Search,Brand Awareness,59.2,4934,40584,7,406.5,Students,easy goal setting,26691,2.7
2024-09-11,Instagram,Performance/ROAS,266.67,2872,38095,7,340.35,Working Professionals,top rated productivity app,17372,4.7
2024-06-17,TikTok,Brand Awareness,12.83,2319,15765,8,415.4,Millennials,mobile finance solutions,16331,1.8
2024-08-24,Google Search,Performance/ROAS,222.73,4964,25434,11,405.46,Working Professionals,top rated productivity app,28683,2.5
2024-10-04,Facebook,Performance/ROAS,177.05,801,10641,8,988.69,Students,free habit tracker,49751,3.9
2024-05-23,Facebook,App Install,314.19,3969,829,8,0.0,Millennials,best budget planning app,43026,1.6
2024-04-11,Google Search,Brand Awareness,327.93,1694,41565,16,10.17,Working Professionals,secure investment tracker,27552,1.3
2024-05-28,Facebook,Performance/ROAS,95.27,438,33138,7,796.5,Students,easy goal setting,6530,4.7
2024-01-02,Facebook,Performance/ROAS,451.86,3410,35905,10,601.29,Gen Z,easy goal setting,14596,1.0
2024-03-04,Google Search,Re-engagement,67.68,3291,43800,11,787.81,Working Professionals,best budget planning app,5895,1.3
2024-08-14,TikTok,App Install,376.61,2057,13841,11,0.0,Students,best budget planning app,3016,3.2
2024-09-25,Facebook,Performance/ROAS,6.36,216,3682,5,423.95,Gen Z,easy goal setting,20443,4.5
2024-06-10,Instagram,Performance/ROAS,462.64,4848,18437,9,283.5,Gen Z,top rated productivity app,1473,1.5
2024-09-26,Facebook,Performance/ROAS,359.16,1135,5372,12,47.94,Gen Z,secure investment tracker,40930,3.9
2024-07-17,Instagram,Re-engagement,173.28,2159,34133,8,882.12,Gen Z,mobile finance solutions,21536,4.5
2024-02-15,Facebook,Performance/ROAS,13.7,197,47484,10,567.59,Students,best budget planning app,10191,2.9
2024-06-11,Facebook,Performance/ROAS,408.38,4233,13323,7,326.92,Millennials,free habit tracker,19682,0.7
2024-11-28,Google Search,Re-engagement,84.2,1783,6916,11,656.63,Students,top rated productivity app,49749,0.9
2024-01-30,Google Search,Performance/ROAS,47.5,1340,6298,6,384.23,Working Professionals,top rated productivity app,19853,2.5
2024-09-12,Facebook,Performance/ROAS,140.03,3646,6428,6,242.71,Students,secure investment tracker,30066,1.8
2024-05-05,Google Search,Performance/ROAS,89.78,3861,16681,6,325.32,Gen Z,best budget planning app,40905,1.2
2024-06-29,TikTok,Re-engagement,323.57,2551,9085,5,732.22,Gen Z,easy goal setting,40602,2.0
2024-08-30,Google Search,Re-engagement,375.93,4064,17617,10,380.04,Gen Z,mobile finance solutions,29904,3.8
2024-02-21,Google Search,Re-engagement,212.82,4170,13055,15,615.79,Working Professionals,best budget planning app,28238,1.7
2024-01-27,Facebook,Performance/ROAS,362.64,4277,36814,7,52.22,Millennials,best budget planning app,24290,3.0
2024-08-09,TikTok,Performance/ROAS,199.37,4160,46630,10,127.73,Students,top rated productivity app,32860,3.6
2024-05-07,Google Search,Performance/ROAS,261.71,3650,1338,12,471.41,Students,top rated productivity app,47861,4.5
2024-08-20,TikTok,Performance/ROAS,361.87,4354,4441,10,77.28,Gen Z,secure investment tracker,32060,2.6
2024-03-11,Facebook,App Install,440.24,3334,43207,10,0.0,Students,best budget planning app,10629,1.1
2024-10-12,Facebook,App Install,342.75,2739,7799,6,0.0,Students,best budget planning app,7920,1.6
2024-04-30,Google Search,Performance/ROAS,209.17,525,34732,7,134.23,Students,best budget planning app,15671,2.1
2024-08-10,Facebook,Performance/ROAS,464.38,3931,38986,10,33.0,Millennials,secure investment tracker,14464,0.7
2024-09-30,Facebook,Performance/ROAS,499.1,3964,24713,11,121.74,Gen Z,free habit tracker,48775,1.3
2024-02-13,Instagram,App Install,235.91,4681,30305,9,0.0,Students,mobile finance solutions,31027,1.7
2024-05-08,Google Search,App Install,343.59,561,38918,15,0.0,Working Professionals,best budget planning app,17111,4.4
2024-10-25,Google Search,Performance/ROAS,72.24,963,42310,16,755.62,Students,free habit tracker,18573,0.9
2024-12-18,Google Search,App Install,463.31,2562,33727,16,0.0,Gen Z,secure investment tracker,44691,2.8
2024-12-02,Google Search,Performance/ROAS,283.86,1303,47007,13,144.49,Gen Z,mobile finance solutions,43181,0.7
2024-11-20,Google Search,Performance/ROAS,35.89,2811,31953,14,425.01,Millennials,easy goal setting,4964,0.7
2024-10-23,Google Search,Performance/ROAS,470.37,71,39320,7,575.43,Working Professionals,free habit tracker,10278,3.7
2024-06-05,Facebook,Performance/ROAS,321.85,1936,16052,13,612.94,Students,top rated productivity app,39614,3.6
2024-12-01,Google Search,Re-engagement,275.18,1967,21204,8,470.9,Working Professionals,easy goal setting,9971,2.0
2024-03-03,Facebook,Brand Awareness,451.9,2551,3351,11,7.37,Students,secure investment tracker,49682,1.5
2024-01-21,Google Search,Performance/ROAS,203.74,4623,41538,11,387.21,Millennials,mobile finance solutions,38860,3.2
2024-10-15,Google Search,Brand Awareness,53.57,2511,42296,7,770.71,Gen Z,easy goal setting,9627,2.8
2024-02-24,Facebook,Performance/ROAS,298.98,671,29851,10,473.44,Working Professionals,free habit tracker,18147,2.1
2024-08-03,Google Search,Re-engagement,475.56,1858,16457,11,242.2,Millennials,secure investment tracker,47809,4.0
2024-04-19,TikTok,App Install,83.33,563,21163,8,0.0,Gen Z,mobile finance solutions,13840,1.6
2024-07-17,Google Search,App Install,219.39,1331,3158,11,0.0,Gen Z,best budget planning app,13482,2.3
2024-06-16,Google Search,Re-engagement,19.78,835,41286,6,655.87,Millennials,free habit tracker,32062,3.3
2024-01-09,Google Search,Performance/ROAS,458.77,103,41773,8,485.29,Millennials,best budget planning app,26091,2.2
2024-08-11,Facebook,Performance/ROAS,5.41,2959,22875,4,99.854,Working Professionals,top rated productivity app,27782,2.0
2024-10-15,Google Search,Brand Awareness,366.18,1226,13977,13,771.3,Working Professionals,free habit tracker,9659,3.1
2024-02-20,TikTok,Performance/ROAS,144.62,3216,8815,8,674.19,Students,top rated productivity app,20953,4.0
2024-11-12,Google Search,Re-engagement,219.89,231,34598,6,514.33,Millennials,easy goal setting,1006,3.5
2024-02-23,Google Search,Performance/ROAS,360.9,2648,13850,4,34.167,Working Professionals,top rated productivity app,28952,1.8
2024-07-19,Facebook,Brand Awareness,74.81,3788,24373,8,827.73,Gen Z,easy goal setting,5084,3.3
2024-06-04,Facebook,Performance/ROAS,126.51,367,45180,10,750.17,Working Professionals,top rated productivity app,21647,3.5
2024-08-24,Instagram,Brand Awareness,215.85,3192,36937,13,678.73,Millennials,free habit tracker,46908,1.7
2024-07-04,TikTok,Re-engagement,78.59,4281,1806,13,841.33,Millennials,best budget planning app,27462,3.2
2024-11-01,Google Search,Re-engagement,173.67,1102,41062,8,120.75,Millennials,best budget planning app,9466,1.9
2024-01-29,Facebook,Performance/ROAS,131.6,4567,20191,12,906.85,Gen Z,secure investment tracker,10749,4.7
2024-06-09,TikTok,Re-engagement,105.0,2535,30349,7,603.32,Gen Z,secure investment tracker,32288,3.8
2024-04-26,Google Search,Re-engagement,86.03,4433,45230,10,396.21,Students,easy goal setting,5853,2.9
2024-07-15,TikTok,Performance/ROAS,152.37,4141,46077,10,402.11,Gen Z,free habit tracker,7472,0.7
2024-02-07,Google Search,Re-engagement,200.16,4527,22254,10,416.6,Working Professionals,free habit tracker,1559,0.9
2024-08-03,Instagram,Re-engagement,202.84,1298,27687,14,989.86,Gen Z,secure investment tracker,23380,5.0
2024-05-05,Google Search,Performance/ROAS,214.48,3164,18766,12,60.28,Gen Z,easy goal setting,1773,3.6
2024-02-09,Instagram,Re-engagement,168.63,2347,877,12,58.07,Working Professionals,mobile finance solutions,38874,3.3
2024-01-04,Google Search,Performance/ROAS,115.66,1427,43573,13,684.6,Gen Z,free habit tracker,4558,4.6
2024-12-27,Facebook,Performance/ROAS,468.47,1421,42428,9,810.69,Gen Z,best budget planning app,10822,3.9
2024-10-07,TikTok,Re-engagement,294.55,1875,35043,13,921.16,Gen Z,best budget planning app,38972,3.3
2024-10-20,Facebook,Performance/ROAS,479.03,3023,3197,8,292.33,Gen Z,best budget planning app,42642,4.2
2024-03-17,Facebook,Performance/ROAS,286.01,1114,23279,10,547.87,Gen Z,free habit tracker,33030,3.7
2024-10-01,Facebook,Brand Awareness,336.86,1869,12032,9,300.72,Millennials,easy goal setting,27977,2.1
2024-03-27,Facebook,Performance/ROAS,151.32,2531,22710,12,73.7,Working Professionals,free habit tracker,6586,2.8
2024-05-27,Facebook,Re-engagement,135.32,3467,18187,7,624.66,Students,easy goal setting,43663,4.8
2024-08-23,Google Search,Performance/ROAS,447.12,2938,36869,11,996.65,Gen Z,mobile finance solutions,41525,4.2
2024-06-30,Google Search,Performance/ROAS,99.85,3983,29041,10,845.79,Working Professionals,secure investment tracker,15769,1.1
2024-03-23,Google Search,App Install,467.53,1577,20233,9,0.0,Working Professionals,top rated productivity app,6019,2.7
2024-08-17,Google Search,App Install,336.95,2411,7121,7,0.0,Students,free habit tracker,13319,2.3
2024-08-10,Google Search,Performance/ROAS,280.97,471,40715,12,811.95,Working Professionals,secure investment tracker,8747,1.6
2024-07-31,Google Search,Brand Awareness,458.49,4842,4026,10,708.83,Millennials,easy goal setting,29924,4.5
2024-02-04,Google Search,App Install,56.23,2961,35315,14,0.0,Gen Z,secure investment tracker,23740,4.4
2024-05-27,Facebook,Performance/ROAS,312.81,3670,45616,7,958.6,Millennials,top rated productivity app,9452,4.2
2024-02-22,Google Search,Performance/ROAS,342.31,3204,8944,13,904.45,Gen Z,free habit tracker,41025,3.7
2024-04-15,Facebook,App Install,40.6,2272,40563,7,0.0,Gen Z,secure investment tracker,30780,2.8
2024-01-26,Google Search,Performance/ROAS,350.89,250,28846,8,334.64,Millennials,top rated productivity app,4946,0.8
2024-02-04,Instagram,Performance/ROAS,246.98,4761,3214,10,127.32,Working Professionals,top rated productivity app,20100,1.6
2024-02-19,Facebook,Performance/ROAS,297.13,4601,25297,12,111.47,Working Professionals,easy goal setting,43013,3.0
2024-01-01,Google Search,Performance/ROAS,272.92,1670,42446,7,243.3,Working Professionals,mobile finance solutions,17932,0.5
2024-07-25,Facebook,App Install,353.33,795,29635,16,0.0,Students,free habit tracker,22897,4.3
2024-06-09,Google Search,Performance/ROAS,446.45,1423,44369,8,119.98,Students,top rated productivity app,10634,3.0
2024-08-10,Google Search,Performance/ROAS,304.44,1872,41626,7,603.64,Working Professionals,secure investment tracker,550,2.9
2024-06-13,Google Search,App Install,88.9,3057,38701,8,0.0,Millennials,best budget planning app,40117,2.3
2024-11-29,Google Search,Performance/ROAS,358.74,462,3415,12,743.53,Gen Z,free habit tracker,30194,2.1
2024-08-19,TikTok,Performance/ROAS,482.27,2030,2962,12,942.2,Gen Z,top rated productivity app,49276,0.8
2024-04-09,TikTok,Performance/ROAS,66.09,1304,11816,6,31.81,Gen Z,easy goal setting,39301,1.4
2024-10-17,Facebook,Performance/ROAS,234.51,568,24668,11,919.6,Millennials,mobile finance solutions,49660,2.1
2024-07-28,Google Search,Performance/ROAS,76.9,3117,21181,13,295.87,Students,mobile finance solutions,11354,3.1
2024-03-29,Google Search,Performance/ROAS,304.8,1153,34469,9,520.47,Working Professionals,top rated productivity app,42364,3.0
2024-08-23,Instagram,Performance/ROAS,428.18,2064,31011,9,958.67,Students,easy goal setting,2880,2.5
2024-10-16,Google Search,Performance/ROAS,273.97,415,18835,12,121.01,Gen Z,easy goal setting,42843,3.7
2024-11-02,Facebook,App Install,451.4,1110,13173,15,0.0,Gen Z,mobile finance solutions,11399,0.9
2024-02-18,Facebook,Performance/ROAS,371.12,833,35816,12,476.81,Millennials,top rated productivity app,13197,0.9
2024-07-27,Google Search,Performance/ROAS,395.64,2979,5926,15,932.92,Students,easy goal setting,38529,0.9
2024-03-24,Facebook,Brand Awareness,267.31,2025,41551,9,582.62,Students,secure investment tracker,15915,1.6
2024-06-23,Facebook,Brand Awareness,266.61,3165,1173,10,50.26,Millennials,free habit tracker,17199,4.4
2024-09-15,Facebook,App Install,150.81,1034,8160,8,0.0,Millennials,easy goal setting,33126,3.9
2024-08-13,Google Search,Performance/ROAS,301.98,4026,906,6,959.59,Students,secure investment tracker,23357,3.4
2024-05-05,Google Search,Performance/ROAS,288.22,3994,25341,11,966.98,Students,best budget planning app,5584,2.5
2024-12-11,TikTok,Performance/ROAS,345.24,1709,33118,9,709.73,Working Professionals,best budget planning app,3268,1.2
2024-10-01,Facebook,Performance/ROAS,120.29,1525,29418,10,904.18,Students,best budget planning app,15724,4.3
2024-10-28,Instagram,Brand Awareness,453.41,2594,7309,11,255.04,Gen Z,top rated productivity app,41448,3.4
2024-12-01,Google Search,Performance/ROAS,34.45,314,42065,11,959.44,Students,secure investment tracker,32303,4.6
2024-03-07,Facebook,App Install,224.62,1212,19672,11,0.0,Students,best budget planning app,30585,1.0
